Date & Time,Temperature (°F)
"1/8/21, 5:04:05 PM",313
"1/8/21, 5:04:07 PM",314
"1/8/21, 5:04:10 PM",314
"1/8/21, 5:04:11 PM",315
"1/8/21, 5:04:14 PM",315
"1/8/21, 5:04:14 PM",316
"1/8/21, 5:04:16 PM",317
"1/8/21, 5:04:18 PM",318
"1/8/21, 5:04:21 PM",318
"1/8/21, 5:04:23 PM",319
"1/8/21, 5:04:25 PM",320
"1/8/21, 5:04:27 PM",321
"1/8/21, 5:04:28 PM",320
"1/8/21, 5:04:29 PM",321
"1/8/21, 5:04:30 PM",322
"1/8/21, 5:04:33 PM",323
"1/8/21, 5:04:36 PM",323
"1/8/21, 5:04:36 PM",324
"1/8/21, 5:04:38 PM",325
"1/8/21, 5:04:40 PM",326
"1/8/21, 5:04:42 PM",327
"1/8/21, 5:04:45 PM",327
"1/8/21, 5:04:47 PM",328
"1/8/21, 5:04:50 PM",328
"1/8/21, 5:04:52 PM",329
"1/8/21, 5:04:53 PM",330
"1/8/21, 5:04:54 PM",331
"1/8/21, 5:04:56 PM",332
"1/8/21, 5:04:59 PM",332
"1/8/21, 5:04:59 PM",333
"1/8/21, 5:05:02 PM",333
"1/8/21, 5:05:02 PM",334
"1/8/21, 5:05:04 PM",335
"1/8/21, 5:05:07 PM",336
"1/8/21, 5:05:09 PM",337
"1/8/21, 5:05:10 PM",338
"1/8/21, 5:05:13 PM",338
"1/8/21, 5:05:13 PM",339
"1/8/21, 5:05:16 PM",339
"1/8/21, 5:05:16 PM",340
"1/8/21, 5:05:19 PM",340
"1/8/21, 5:05:19 PM",341
"1/8/21, 5:05:22 PM",341
"1/8/21, 5:05:22 PM",342
"1/8/21, 5:05:24 PM",343
"1/8/21, 5:05:27 PM",343
"1/8/21, 5:05:27 PM",344
"1/8/21, 5:05:30 PM",344
"1/8/21, 5:05:31 PM",345
"1/8/21, 5:05:34 PM",345
"1/8/21, 5:05:34 PM",346
"1/8/21, 5:05:37 PM",346
"1/8/21, 5:05:37 PM",347
"1/8/21, 5:05:40 PM",347
"1/8/21, 5:05:40 PM",348
"1/8/21, 5:05:43 PM",348
"1/8/21, 5:05:43 PM",350
"1/8/21, 5:05:44 PM",351
"1/8/21, 5:05:47 PM",351
"1/8/21, 5:05:47 PM",352
"1/8/21, 5:05:50 PM",352
"1/8/21, 5:05:52 PM",353
"1/8/21, 5:05:55 PM",353
"1/8/21, 5:05:56 PM",354
"1/8/21, 5:05:59 PM",354
"1/8/21, 5:06:01 PM",355
"1/8/21, 5:06:03 PM",357
"1/8/21, 5:06:06 PM",357
"1/8/21, 5:06:06 PM",358
"1/8/21, 5:06:09 PM",358
"1/8/21, 5:06:10 PM",359
"1/8/21, 5:06:13 PM",359
"1/8/21, 5:06:13 PM",360
"1/8/21, 5:06:16 PM",360
"1/8/21, 5:06:17 PM",362
